Profiling for K=3, Dimensionality=2, Dataset Size=100
         5253 function calls in 0.002 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3313(mean)
       21    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:163(_mean)
       29    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      701    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      700    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:1219(_argmin_dispatcher)
        7    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(array_equal)
       21    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:66(_count_reduce_items)
        7    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:2402(array_equal)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(prod)
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:2927(prod)
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
        7    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
        7    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:60(_all)
       42    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       42    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       21    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
       21    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3308(_mean_dispatcher)
       21    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
       21    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        7    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:2398(_array_equal_dispatcher)
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:2922(_prod_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


Profiling for K=3, Dimensionality=3, Dataset Size=1000
         70500 function calls in 0.024 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000    0.004    0.000    0.023    0.000 <__array_function__ internals>:177(argmin)
    10041    0.003    0.000    0.019    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    10000    0.006    0.000    0.015    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:1223(argmin)
    10000    0.004    0.000    0.009    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
    10000    0.005    0.000    0.005    0.000 {method 'argmin' of 'numpy.ndarray' objects}
    10001    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
    10000    0.001    0.000    0.001    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:1219(_argmin_dispatcher)
       30    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(mean)
       30    0.000    0.000    0.001    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3313(mean)
       30    0.000    0.000    0.001    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:163(_mean)
       41    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(array_equal)
       10    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:2402(array_equal)
       30    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:66(_count_reduce_items)
       10    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:60(_all)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(prod)
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:2927(prod)
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       60    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       30    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3308(_mean_dispatcher)
       30    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
       30    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
       30    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
       10    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:2398(_array_equal_dispatcher)
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:2922(_prod_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}


Profiling for K=3, Dimensionality=3, Dataset Size=10000
         2451725 function calls in 1.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   350000    0.175    0.000    0.989    0.000 <__array_function__ internals>:177(argmin)
   350141    0.145    0.000    0.788    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   350000    0.240    0.000    0.633    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:1223(argmin)
   350000    0.156    0.000    0.393    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
   350000    0.198    0.000    0.198    0.000 {method 'argmin' of 'numpy.ndarray' objects}
   350001    0.038    0.000    0.038    0.000 {built-in method builtins.getattr}
   350000    0.036    0.000    0.036    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:1219(_argmin_dispatcher)
      105    0.000    0.000    0.011    0.000 <__array_function__ internals>:177(mean)
      105    0.000    0.000    0.010    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3313(mean)
      105    0.001    0.000    0.010    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:163(_mean)
      141    0.008    0.000    0.008    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      105    0.001    0.000    0.001    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:66(_count_reduce_items)
       35    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(array_equal)
       35    0.000    0.000    0.001    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:2402(array_equal)
       35    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
       35    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:60(_all)
      210    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      105    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
      210    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      105    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3308(_mean_dispatcher)
      105    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(prod)
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:2927(prod)
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
      105    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
       35    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:2398(_array_equal_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:2922(_prod_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}


Profiling for K=3, Dimensionality=4, Dataset Size=100
         13492 function calls in 0.006 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1800    0.001    0.000    0.005    0.000 <__array_function__ internals>:177(argmin)
     1873    0.001    0.000    0.005    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1800    0.001    0.000    0.003    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:1223(argmin)
     1800    0.001    0.000    0.002    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
     1800    0.001    0.000    0.001    0.000 {method 'argmin' of 'numpy.ndarray' objects}
       54    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(mean)
       54    0.000    0.000    0.001    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3313(mean)
       54    0.000    0.000    0.001    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:163(_mean)
       73    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1801    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
     1800    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:1219(_argmin_dispatcher)
       18    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(array_equal)
       54    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:66(_count_reduce_items)
       18    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:2402(array_equal)
       18    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
       18    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:60(_all)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(prod)
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:2927(prod)
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
      108    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      108    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       54    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3308(_mean_dispatcher)
       54    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
       54    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
       54    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
       18    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:2398(_array_equal_dispatcher)
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:2922(_prod_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}


Profiling for K=3, Dimensionality=4, Dataset Size=1000
         162137 function calls in 0.060 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    23000    0.010    0.000    0.058    0.000 <__array_function__ internals>:177(argmin)
    23093    0.009    0.000    0.048    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    23000    0.014    0.000    0.038    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:1223(argmin)
    23000    0.009    0.000    0.023    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
    23000    0.012    0.000    0.012    0.000 {method 'argmin' of 'numpy.ndarray' objects}
    23001    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
    23000    0.002    0.000    0.002    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:1219(_argmin_dispatcher)
       69    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(mean)
       69    0.000    0.000    0.001    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3313(mean)
       69    0.000    0.000    0.001    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:163(_mean)
       93    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       23    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(array_equal)
       23    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:2402(array_equal)
       69    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:66(_count_reduce_items)
       23    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
       23    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:60(_all)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(prod)
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:2927(prod)
